word_id,aspect,partner
43057,imperfective,обжа'ть
43059,imperfective,обжа'ть
43060,imperfective,обожраться
43062,imperfective,обжу'лить
43064,imperfective,обзвони'ть
43065,imperfective,оби'ться
43070,imperfective,обколо̀ть
43071,imperfective,обколо̀ться
43072,imperfective,"обка'пать;обкопа'ть"
43073,imperfective,обкормить
43075,imperfective,"обката'ть;обкати'ть"
43076,imperfective,обкосѝть
43078,perfective,корна'ть
43079,imperfective,обокрасть
43080,perfective,-
43081,imperfective,обкурить
43082,imperfective,"обкуса'ть;обкусѝть"
43084,imperfective,обложить
43085,imperfective,обла'дить
43086,imperfective,обломиться
43087,imperfective,обла'пливать
43088,imperfective,облапошить
43090,imperfective,облачить
43091,imperfective,облачиться
43095,imperfective,облезть
43096,imperfective,облечь
43097,imperfective,обле'чься
43099,imperfective,облепить
43101,perfective,-
43106,imperfective,
43109,imperfective,облицевать
43112,perfective,лобыза'ть
43113,perfective,-
43116,imperfective,облупить
43117,imperfective,облупиться
43118,imperfective,облучи'ть
43122,imperfective,обмазать
43123,imperfective,обма'заться
43124,imperfective,обмакнуть
43128,imperfective,обмануться
43129,imperfective,обмара'ть
43130,imperfective,обмота'ться
43131,imperfective,"обмаха'ть; обмахну'ть"
43133,imperfective,обмёрзнуть
43134,imperfective,обме́рять
43135,imperfective,обметать
43136,imperfective,обмя'ть
43137,imperfective,обмя'ться
43138,imperfective,обмозговать
43139,imperfective,обмолотить
43144,perfective,
43145,perfective,
43146,perfective,обмундиро'вывать
43147,perfective,обмундиро'вываться
43149,imperfective,обмурова'ть
43150,imperfective,обму'слить
43152,imperfective,обмы'ться
43157,perfective,обна'шиваться
43161,imperfective,обобществи'ть
43163,imperfective,обогатиться
43164,imperfective,обоготвори'ть
43167,imperfective,обогреть
43168,imperfective,обогреться
43173,imperfective,ободриться
43178,imperfective,обожествить
43183,perfective,
43186,imperfective,обольстить
43191,imperfective,"обернуть,оборотить"
43197,imperfective,обосноваться
43201,imperfective,обособить
43210,perfective,ревизова'ть
43213,perfective,обреше́чивать
43215,imperfective,обрисовать
43216,imperfective,обрисоваться
43218,imperfective,обрубить
43221,imperfective,обручить
43222,imperfective,обручиться
43225,perfective,-
43226,imperfective,обрызгать
43227,imperfective,обрызгаться
43228,perfective,-
43233,imperfective,обрядить
43234,imperfective,обсадить
43235,imperfective,обсе́чь
43238,perfective,обседать
43239,imperfective,обскака̀ть
43243,perfective,обслю'нивать
43244,imperfective,обставить
43245,imperfective,обставиться
43246,imperfective,обстира'ть
43248,imperfective,обстрога'ть
43254,imperfective,обсудить
43255,imperfective,обсусо'лить
43256,imperfective,обсушѝть
43257,imperfective,обсушиться
43258,imperfective,обсчитать
43259,imperfective,обсчита'ться
43260,imperfective,обсохнуть
43261,imperfective,обта'ять
43262,imperfective,обточѝть
43265,imperfective,обтесать
43266,imperfective,обтесаться
43267,perfective,обтере́ться
43270,perfective,обтрёпываться
43274,imperfective,обтя'пать
43277,imperfective,обуглить
43278,imperfective,обуглиться
43279,imperfective,обуздать
43281,imperfective,обусловиться
43283,perfective,обтя'пывать
43286,imperfective,обчистить
43287,imperfective,обчи'ститься
43288,imperfective,обша'ркать
43289,imperfective,обша'ркаться
43290,imperfective,обшить
43309,imperfective,общипа̀ть
43311,perfective,объего'рить
43312,imperfective,объесть
43313,imperfective,объесться
43323,both,
43329,imperfective,овеять
43330,imperfective,овеществи'ться
43346,imperfective,огласиться
43347,imperfective,оглоу'шить
43348,imperfective,оглупи'ть
43365,imperfective,оголить
43366,imperfective,оголиться
43368,imperfective,огородить
43369,imperfective,огородѝться
43373,imperfective,огради'ться
43374,perfective,огранивать
43378,imperfective,огрести
43385,imperfective,наодеколо'нить
43386,imperfective,"sich mit Kölnischwasser einsprühen / betupfen;Kölnischwasser nehmen"
43387,imperfective,оделить
43467,imperfective,одолжить
43468,imperfective,одолжиться
43470,imperfective,одомашнить
43474,imperfective,одурачить
43477,imperfective,одурманить
43478,imperfective,одурманиться
43481,imperfective,одухотвори'ть
43483,imperfective,одушеви'ть
43484,imperfective,ожесточить
43486,imperfective,озаботить
43487,imperfective,озаботиться
43488,imperfective,озаглавить
43493,imperfective,оздоровить
43495,imperfective,озеленить
43499,imperfective,озлобить
43500,imperfective,ознакомить
43502,perfective,золотить
43505,both,
43508,imperfective,созорнича'ть
43510,perfective,кантовать
43512,imperfective,окончить
43515,imperfective,окатить
43516,imperfective,окатиться
43525,imperfective,-
43526,imperfective,окисли'ться
43529,imperfective,оклеить
43533,imperfective,околдовать
43534,imperfective,околеть
43545,imperfective,околпа'чить
43547,perfective,конфузить
43548,perfective,конфузиться
43549,imperfective,окоротить
43551,perfective,ока'рмливать
43552,perfective,корнать
43553,perfective,-
43554,imperfective,окостенеть
43559,perfective,окочу'риваться
43560,perfective,"окровавливать,кровавить"
43561,imperfective,окропи'ть
43562,imperfective,округлиться
43563,imperfective,окрутить
43565,imperfective,окрылить
43566,perfective,-
43568,both,
43572,imperfective,окуклиться
43575,imperfective,окультурить
43576,imperfective,окунуться
43578,imperfective,окупи'ть
43579,imperfective,окупиться
43580,perfective,кургузить
43582,imperfective,окурить
43583,imperfective,оку'таться
43585,imperfective,окучить
43589,perfective,оледенева'ть
43607,perfective,омертвлять
43612,imperfective,омолодить
43613,imperfective,омолоди'ться
43618,imperfective,озорнича'ть
43621,imperfective,омыться
43624,imperfective,-
43628,imperfective,онемечить
43629,imperfective,онеме́читься
43640,imperfective,"опая'ть;опоѝть"
43643,imperfective,
43644,imperfective,опалить
43645,imperfective,опали'ться
43647,perfective,-
43651,imperfective,"опаха̀ть;опахну'ть"
43658,imperfective,опечатать
43660,imperfective,опилить
43662,imperfective,опереть
43669,imperfective,оплевать
43671,perfective,плодотворить
43672,perfective,пломбирова'ть
43674,perfective,опоганивать
43677,imperfective,опознать
43679,imperfective,ополоснуть
43680,perfective,-
43682,perfective,ополови'нивать
43683,imperfective,ополчи'ть
43684,imperfective,ополчиться
43685,imperfective,опорожнить
43690,perfective,-
43692,imperfective,опошлить
43693,imperfective,прооппонировать
43706,perfective,опрастывать
43707,imperfective,опротестовать
43709,imperfective,опрыснуть
43713,both,
43716,imperfective,опубликовать
43727,imperfective,опылить
43729,imperfective,опыли'ть
43730,imperfective,
43734,imperfective,опьянить
43746,imperfective,соригина'льничать
43753,both,
43760,both,
43789,imperfective,осведомить
43790,imperfective,освежиться
43793,perfective,свиде́тельствовать
43794,imperfective,освистать
43795,imperfective,освятить
43798,imperfective,осечься
43801,imperfective,осемени'ть
43803,perfective,осеребря'ть
43810,imperfective,оскалиться
43811,perfective,скальпи'ровать
43812,perfective,-
43816,imperfective,оскопи'ть
43823,imperfective,осла'вить
43832,imperfective,осмеять
43838,imperfective,осмыслить
43840,imperfective,оснастить
43845,imperfective,основать
43847,imperfective,осовреме́нить
43856,imperfective,остекли'ть
43860,imperfective,остепени'ть
43861,imperfective,остепениться
43862,perfective,остервеняться
43863,imperfective,остеречь
43872,imperfective,остричь
43874,perfective,острагивать
43881,imperfective,-
43883,imperfective,остудить
43885,imperfective,осушить
43893,imperfective,
43895,imperfective,отопить
43896,perfective,"-;бараба'нить"
43897,imperfective,
43900,imperfective,отбояриться
43901,imperfective,отбрехаться
43902,imperfective,отбрить
43904,perfective,отбрыка'ться
43905,perfective,отбуксиро'вывать
43907,imperfective,отвадить
43909,imperfective,отварить
43911,imperfective,отведать
43912,imperfective,отвердеть
43917,imperfective,отве́рзть
43918,imperfective,отвернуть
43919,imperfective,отвернуться
43921,imperfective,ответви'ть
43922,imperfective,ответвиться
43924,imperfective,отвильну'ть
43925,imperfective,отвинтиться
43926,imperfective,отвиснуть
43931,imperfective,отвратить
43932,imperfective,отвязаться
43935,imperfective,отогнуть
43936,imperfective,отогнуться
43938,imperfective,отгладить
43939,imperfective,отгнить
43943,perfective,-
43944,imperfective,отграни'чить
43945,imperfective,отгрузить
43947,imperfective,отгрызть
43948,imperfective,отгуля'ть
43950,imperfective,отдалить
43955,imperfective,отделать
43958,perfective,отдува'ть
43960,imperfective,отечь
43963,imperfective,отепли'ть
43966,imperfective,отжечь
43967,imperfective,отжать
43968,perfective,-
43969,perfective,отзва'нивать
43970,perfective,-
43972,imperfective,отколо'ть
43973,imperfective,откормить
43976,imperfective,"отката'ть;откати'ть"
43978,perfective,-
43979,imperfective,"откашлянуть;отка'шлять"
43980,imperfective,отклеить
43982,imperfective,откова'ть
43983,imperfective,отковырну'ть
43986,perfective,отколачивать
43987,imperfective,отколупну'ть
43988,imperfective,откомандировать
43992,imperfective,откочевать
43993,imperfective,открепи'ть
43994,imperfective,открепи'ться
43995,imperfective,открутѝться
43999,imperfective,откупи'ть
44003,imperfective,отложѝть
44004,imperfective,отложѝться
44007,imperfective,отлучить
44009,imperfective,отмахать
44010,imperfective,отмочить
44011,imperfective,отмежева'ть
44012,imperfective,отмежеваться
44013,imperfective,отмерить
44016,imperfective,отмо'кнуть
44017,perfective,-
44019,imperfective,отмыться
44020,imperfective,отомкну'ть
44021,perfective,-
44022,imperfective,отмя'кнуть
44023,imperfective,отняться
44025,imperfective,
44026,imperfective,отоварить
44028,imperfective,отожестви'ть
44033,imperfective,оторочить
44038,perfective,-
44041,imperfective,отпа'рить
44042,imperfective,отпоро̀ть
44043,perfective,-
44045,imperfective,отпечатать
44048,imperfective,отписать
44049,imperfective,отпихну'ться
44051,imperfective,отплати'ть
44052,imperfective,отплюнуть
44053,perfective,отплясывать
44054,perfective,отпаивать
44055,imperfective,отпоте́ть
44056,imperfective,отпочковаться
44058,imperfective,отпроситься
44059,imperfective,отпря'чь
44061,imperfective,отравиться
44065,imperfective,отрезвить
44066,imperfective,отрезвиться
44068,perfective,отрекомендовывать
44070,imperfective,отрешиться
44075,imperfective,-
44076,imperfective,отрули'ть
44078,imperfective,отрыгнуть
44079,imperfective,отрядить
44081,imperfective,отсадѝть
44082,imperfective,отсе́сть
44088,imperfective,отсеять
44089,imperfective,отсе'яться
44091,imperfective,отсели'ть
44092,imperfective,отсели'ться
44093,perfective,отсеивать
44094,imperfective,отсидеть
44095,imperfective,отскобли'ть
44096,imperfective,отскоблѝться
44097,perfective,отскакивать
44098,imperfective,отскрести'
44099,imperfective,отслоить
44100,imperfective,отслои'ться
44102,perfective,-
44103,imperfective,отсоедини'ть
44104,imperfective,отсортирова'ть
44105,imperfective,отсрочить
44106,imperfective,отстояться
44108,imperfective,отстира'ть
44109,imperfective,отстира'ться
44111,perfective,-
44112,imperfective,отстроить
44113,imperfective,отстроиться
44115,imperfective,отстричь
44117,perfective,отстра'чивать
44119,imperfective,отступиться
44127,imperfective,отсохнуть
44130,perfective,оттере́ться
44131,imperfective,оттиснуть
44135,imperfective,оттопырить
44136,imperfective,отторгнуть
44138,perfective,"-;труби'ть"
44139,imperfective,оттушевать
44140,perfective,-
44141,imperfective,оттяпать
44142,perfective,у'жинать
44143,imperfective,отума'нить
44145,imperfective,"отутюжить;утюжить"
44146,imperfective,отучить
44147,imperfective,отходѝть
44149,imperfective,"отхаркнуть,отхаркать"
44151,imperfective,"отхватить,отхватать"
44153,imperfective,
44155,imperfective,отцепить
44158,imperfective,отчеканить
44159,imperfective,отчеркнуть
44160,imperfective,отчерпну'ть
44161,imperfective,отчистить
44164,imperfective,отчудить
44166,perfective,отшагивать
44167,perfective,отша'гивать
44169,imperfective,отшибить
44170,perfective,отшивать
44171,perfective,отшлёпывать
44172,imperfective,отшлифовать
44173,imperfective,отшпи'лить
44174,perfective,"-;отщёлкивать"
44176,imperfective,отщепить
44177,imperfective,отъесться
44178,imperfective,отъедини'ть
44179,perfective,-
44182,imperfective,отыграться
